unix,date,symbol,open,high,low,close,Volume BTC,volume
1730246400,2024-10-30 00:00:00,BTC/USDT,72703,72703,72574,72574,0.00816602,592.64073548
1730242800,2024-10-29 23:00:00,BTC/USDT,72744,72801,72616,72769,0.04332568,3152.76640792
1730239200,2024-10-29 22:00:00,BTC/USDT,72230,72977,72230,72660,0.36578460,26577.909036
1730235600,2024-10-29 21:00:00,BTC/USDT,72250,72578,72250,72312,4.11280293,297405.00547416
1730232000,2024-10-29 20:00:00,BTC/USDT,72560,72610,71871,72391,0.62553352,45282.99704631999
1730228400,2024-10-29 19:00:00,BTC/USDT,73236,73607,72577,72577,2.37079409,172065.12266993
1730224800,2024-10-29 18:00:00,BTC/USDT,72701,73249,72698,73170,2.31998917,169753.60756889998
1730221200,2024-10-29 17:00:00,BTC/USDT,72819,72979,72564,72801,1.29748771,94458.40277571
1730217600,2024-10-29 16:00:00,BTC/USDT,72428,72921,72413,72690,4.36525332,317310.2638308
1730214000,2024-10-29 15:00:00,BTC/USDT,71866,72416,71724,72305,2.88381598,208514.3144339
1730210400,2024-10-29 14:00:00,BTC/USDT,71807,71964,71352,71864,1.13603895,81640.30310280001
1730206800,2024-10-29 13:00:00,BTC/USDT,71105,71819,70927,71819,1.40760960,101093.1138624
1730203200,2024-10-29 12:00:00,BTC/USDT,71445,71480,71112,71116,0.35574428,25299.110216480003
1730199600,2024-10-29 11:00:00,BTC/USDT,71238,71568,71236,71446,1.16182480,83007.7346608
1730196000,2024-10-29 10:00:00,BTC/USDT,71315,71348,71141,71180,0.85251724,60682.177143199995
1730192400,2024-10-29 09:00:00,BTC/USDT,71136,71333,71136,71256,0.24018830,17114.8575048
1730188800,2024-10-29 08:00:00,BTC/USDT,71030,71221,67800,71160,8.80664102,626680.5749832001
1730185200,2024-10-29 07:00:00,BTC/USDT,71254,71254,70907,71004,0.31652223,22474.34441892
1730181600,2024-10-29 06:00:00,BTC/USDT,71071,71257,71071,71257,0.19348709,13787.30957213
1730178000,2024-10-29 05:00:00,BTC/USDT,71027,71058,70923,71025,0.16621925,11805.722231250002
1730174400,2024-10-29 04:00:00,BTC/USDT,71009,71135,70987,71044,0.46128323,32771.40579212
1730170800,2024-10-29 03:00:00,BTC/USDT,71195,71408,70917,70917,0.30084523,21335.041175910002
1730167200,2024-10-29 02:00:00,BTC/USDT,70318,71538,70318,71179,4.83777853,344348.23798687
1730163600,2024-10-29 01:00:00,BTC/USDT,69963,70333,69867,70283,1.77345757,124643.91839230999
1730160000,2024-10-29 00:00:00,BTC/USDT,69969,69969,69792,69956,0.07337296,5132.8787897600005
1730156400,2024-10-28 23:00:00,BTC/USDT,69958,70073,69759,69970,0.24642871,17242.6168387
1730152800,2024-10-28 22:00:00,BTC/USDT,69873,70291,69819,69833,4.72756901,330140.32667533
1730149200,2024-10-28 21:00:00,BTC/USDT,69684,69794,69581,69761,0.42060545,29341.85679745
1730145600,2024-10-28 20:00:00,BTC/USDT,69622,69627,69454,69542,0.43007311,29908.14421562
1730142000,2024-10-28 19:00:00,BTC/USDT,69257,69886,69249,69521,3.45671242,240314.10415082
1730138400,2024-10-28 18:00:00,BTC/USDT,68986,69244,68903,69244,0.50755976,35145.46802144
1730134800,2024-10-28 17:00:00,BTC/USDT,68730,69211,68543,69211,0.48792972,33770.10385092
1730131200,2024-10-28 16:00:00,BTC/USDT,68781,68976,68568,68794,0.86017929,59175.17407626
1730127600,2024-10-28 15:00:00,BTC/USDT,68775,68777,68482,68511,0.16168125,11076.94411875
1730124000,2024-10-28 14:00:00,BTC/USDT,68804,69095,68718,69012,1.31882785,91014.9475842
1730120400,2024-10-28 13:00:00,BTC/USDT,68927,69282,68821,68823,0.77434956,53293.05976788
1730116800,2024-10-28 12:00:00,BTC/USDT,68799,69067,68787,69000,1.21000968,83490.66791999999
1730113200,2024-10-28 11:00:00,BTC/USDT,68633,68683,68569,68683,0.15719458,10796.59533814
1730109600,2024-10-28 10:00:00,BTC/USDT,68570,68800,68570,68630,0.17139903,11763.1154289
1730106000,2024-10-28 09:00:00,BTC/USDT,68284,68477,68284,68477,0.11679036,7997.45348172
